Date, Open, High, Low, Close, Volume
08/23/17, 151.60, 152.30, 150.60, 151.00, 2071830
08/22/17, 145.10, 151.00, 145.00, 151.00, 2949290
08/18/17, 148.50, 150.70, 148.40, 150.00, 1560850
08/17/17, 148.80, 149.80, 147.10, 148.50, 2004210
08/16/17, 147.00, 148.50, 145.10, 147.00, 2644100
08/15/17, 143.00, 147.30, 140.70, 147.00, 839010
08/14/17, 143.20, 143.30, 139.70, 142.30, 1262370
08/11/17, 139.00, 144.00, 135.20, 143.00, 1527170
08/10/17, 146.50, 146.50, 138.50, 139.50, 3097790
08/09/17, 146.80, 147.50, 146.50, 146.70, 1706340
08/08/17, 149.00, 149.00, 146.80, 146.80, 5278000
08/07/17, 153.50, 155.00, 149.10, 151.50, 1927790
08/04/17, 154.00, 154.00, 150.60, 152.30, 865980
08/03/17, 155.00, 155.30, 152.80, 154.00, 973590
08/02/17, 154.00, 156.10, 151.00, 154.80, 1030860
08/01/17, 160.90, 160.90, 153.10, 153.10, 1571650
07/31/17, 160.00, 161.00, 158.30, 161.00, 1043460
07/28/17, 160.00, 160.00, 158.00, 160.00, 1099020
07/27/17, 159.10, 160.50, 156.80, 159.90, 2149460
07/26/17, 162.80, 163.50, 159.00, 159.00, 420530
07/25/17, 160.40, 162.00, 160.00, 161.00, 673730
07/24/17, 161.00, 162.40, 160.40, 161.00, 1406540
07/21/17, 162.00, 162.00, 160.60, 161.00, 1260430
07/20/17, 162.10, 163.00, 161.30, 162.00, 776250
07/19/17, 161.30, 163.20, 160.40, 162.10, 499960
07/18/17, 162.00, 162.00, 161.00, 161.30, 869500
07/17/17, 162.70, 162.90, 161.00, 161.50, 316900
07/14/17, 163.00, 163.00, 160.80, 161.50, 788170
07/13/17, 163.00, 163.10, 162.10, 162.70, 2276620
07/12/17, 162.00, 163.20, 162.00, 162.60, 451590
07/11/17, 163.80, 163.80, 161.00, 161.70, 1366630
07/10/17, 164.30, 164.60, 162.10, 162.50, 1377140
07/07/17, 164.40, 165.40, 163.00, 164.30, 2052120
07/06/17, 163.70, 165.00, 163.70, 165.00, 231960
07/05/17, 162.50, 163.70, 162.00, 163.70, 312780
07/04/17, 162.90, 163.00, 161.00, 162.00, 870470
07/03/17, 162.70, 162.90, 161.50, 162.90, 409840
06/30/17, 162.50, 162.90, 160.10, 162.90, 927770
06/29/17, 162.60, 162.60, 161.00, 161.50, 1532350
06/28/17, 162.00, 162.00, 160.00, 160.00, 1071870
06/27/17, 161.50, 165.30, 160.90, 161.00, 4887990
06/23/17, 167.50, 167.50, 161.00, 161.50, 2302630
06/22/17, 168.10, 169.40, 164.00, 165.00, 6134040
06/21/17, 168.00, 168.10, 166.50, 168.00, 2403890
06/20/17, 168.80, 169.00, 167.10, 168.00, 1349970
06/19/17, 165.00, 168.90, 164.00, 168.90, 1377050
06/16/17, 165.00, 165.00, 162.80, 164.00, 1418400
06/15/17, 163.40, 165.40, 163.40, 165.00, 1579460
06/14/17, 160.00, 162.00, 160.00, 162.00, 734070
06/13/17, 163.80, 163.80, 159.50, 160.00, 2574200
06/09/17, 163.00, 164.20, 161.80, 163.20, 1676950
06/08/17, 160.00, 162.70, 160.00, 162.50, 1979730
06/07/17, 159.50, 161.00, 159.10, 159.90, 1404710
06/06/17, 160.60, 160.60, 159.00, 159.00, 2154710
06/05/17, 160.00, 161.40, 159.00, 160.40, 2061420
06/02/17, 159.60, 163.00, 159.40, 159.60, 5555460
06/01/17, 162.00, 162.50, 158.20, 159.60, 3435830
05/31/17, 163.50, 163.70, 161.50, 162.00, 2467730
05/30/17, 164.00, 164.20, 163.00, 163.50, 1630740
05/29/17, 165.00, 166.00, 163.10, 164.30, 1488550
05/26/17, 167.00, 168.60, 165.00, 166.00, 812110
05/25/17, 169.70, 169.80, 166.00, 167.00, 1317710
05/24/17, 165.10, 170.00, 165.00, 170.00, 2578070
05/23/17, 163.60, 165.70, 163.30, 165.10, 1293020
05/22/17, 161.00, 164.30, 161.00, 163.30, 582350
05/19/17, 159.40, 159.80, 157.50, 159.60, 1839420
05/18/17, 160.00, 160.00, 158.10, 158.90, 2839220
05/17/17, 159.90, 160.40, 159.00, 159.20, 5663310
05/16/17, 160.00, 164.10, 158.30, 158.40, 2283990
05/15/17, 162.50, 163.40, 159.10, 159.90, 3384650
05/12/17, 165.60, 166.40, 162.00, 162.50, 5999510
05/11/17, 170.00, 170.20, 167.00, 167.50, 4397360
05/10/17, 179.00, 180.80, 173.80, 174.00, 1362410
05/09/17, 182.70, 185.30, 178.50, 178.50, 1684560
05/08/17, 183.30, 183.30, 179.00, 182.00, 1103060
05/05/17, 178.50, 183.50, 178.50, 183.30, 3389410
05/04/17, 174.20, 179.00, 174.20, 178.30, 2318990
05/03/17, 174.00, 174.80, 173.50, 174.20, 914800
05/02/17, 175.00, 176.00, 172.80, 173.70, 1785340
04/27/17, 174.50, 174.50, 172.00, 172.00, 1646310
04/26/17, 173.50, 174.50, 172.10, 174.50, 588910
04/25/17, 172.00, 175.00, 171.20, 173.50, 1077610
04/24/17, 172.50, 172.90, 171.00, 171.20, 256810
04/21/17, 171.00, 173.30, 170.00, 170.00, 741570
04/20/17, 169.00, 173.00, 168.00, 173.00, 524540
04/19/17, 170.20, 170.20, 167.20, 167.70, 521430
04/18/17, 170.20, 171.80, 169.80, 170.20, 496610
04/17/17, 173.70, 173.70, 169.50, 171.00, 630850
04/12/17, 172.00, 174.80, 171.90, 174.00, 1011900
04/11/17, 168.50, 172.70, 168.30, 172.00, 1464660
04/10/17, 168.00, 169.20, 166.80, 167.80, 857440
04/07/17, 174.50, 177.40, 165.00, 165.00, 1467350
04/06/17, 171.80, 174.50, 170.80, 174.50, 1017490
04/05/17, 164.00, 171.80, 164.00, 171.80, 2187630
04/04/17, 163.00, 165.50, 163.00, 164.00, 2475830
04/03/17, 163.60, 164.00, 163.10, 163.20, 1759050
03/31/17, 163.00, 163.90, 162.00, 163.50, 944210
03/30/17, 161.80, 163.90, 161.80, 163.00, 1226990
03/29/17, 164.00, 164.40, 161.00, 161.80, 1308240
03/28/17, 162.90, 165.00, 162.70, 164.00, 438710
03/27/17, 161.00, 162.90, 160.00, 162.90, 846360
03/24/17, 165.20, 165.20, 161.00, 161.00, 2281490
03/23/17, 164.40, 165.70, 164.00, 165.20, 946010
03/22/17, 162.80, 164.80, 162.40, 164.00, 1389210
03/21/17, 163.00, 163.00, 160.50, 162.80, 1052020
03/20/17, 165.70, 165.70, 160.20, 161.50, 1924620
03/17/17, 166.10, 166.70, 162.50, 163.00, 3780210
03/16/17, 165.00, 167.30, 165.00, 167.00, 1152950
03/15/17, 164.60, 165.40, 163.10, 165.00, 1291680
03/14/17, 162.10, 165.60, 160.50, 164.60, 1480610
03/13/17, 158.80, 161.00, 157.10, 160.10, 1378510
03/10/17, 160.50, 162.60, 158.10, 158.10, 1202480
03/09/17, 162.70, 163.00, 160.00, 160.00, 1027650
03/08/17, 163.40, 163.60, 161.00, 162.90, 784280
03/07/17, 163.00, 163.60, 163.00, 163.40, 1422680
03/06/17, 163.00, 164.10, 161.00, 163.00, 1490310
03/03/17, 163.00, 163.30, 161.40, 163.00, 1973160
03/02/17, 161.10, 163.90, 161.10, 163.00, 1930720
03/01/17, 160.10, 163.00, 159.80, 163.00, 1131750
02/28/17, 162.50, 163.10, 159.20, 160.00, 2170460
02/27/17, 165.00, 165.60, 161.00, 162.50, 938980
02/24/17, 165.80, 165.80, 163.90, 165.10, 1683770
02/23/17, 164.90, 167.50, 164.90, 166.40, 2198880
02/22/17, 163.10, 167.00, 163.10, 165.40, 2242940
02/21/17, 163.50, 164.40, 162.60, 163.10, 1551910
02/20/17, 161.10, 163.00, 161.10, 162.60, 595900
02/17/17, 160.40, 161.20, 160.40, 161.10, 3606370
02/16/17, 160.00, 161.50, 159.90, 160.50, 2323410
02/15/17, 160.10, 161.40, 158.70, 160.00, 1973110
02/14/17, 164.00, 164.90, 159.30, 159.30, 2157580
02/13/17, 164.30, 164.90, 163.20, 164.90, 961540
02/10/17, 160.00, 163.00, 160.00, 163.00, 2284760
02/09/17, 164.50, 165.80, 158.10, 159.00, 2451350
02/08/17, 167.40, 167.40, 163.10, 164.50, 1440640
02/07/17, 164.20, 167.80, 164.10, 167.80, 1223670
02/06/17, 162.40, 166.50, 162.40, 166.50, 704990
02/03/17, 162.00, 165.00, 161.40, 162.00, 3095330
02/02/17, 160.10, 163.10, 160.10, 162.00, 2047650
02/01/17, 166.20, 166.20, 160.10, 160.10, 1179090
01/31/17, 165.00, 165.10, 163.00, 163.00, 1162640
01/30/17, 168.00, 168.10, 164.10, 165.00, 1135390
01/27/17, 167.70, 169.30, 167.70, 168.00, 404750
01/26/17, 167.60, 169.00, 166.30, 167.00, 1681150
01/25/17, 168.50, 169.90, 167.10, 167.60, 1526120
01/24/17, 169.00, 169.90, 167.10, 169.90, 1004090
01/23/17, 166.20, 171.00, 162.90, 171.00, 1118290
01/20/17, 170.10, 170.80, 165.00, 166.10, 1261410
01/19/17, 166.50, 173.00, 166.50, 173.00, 728260
01/18/17, 169.10, 169.20, 166.00, 166.60, 714640
01/17/17, 173.40, 173.40, 168.60, 169.00, 909890
01/16/17, 175.60, 176.10, 172.80, 173.20, 767040
01/13/17, 174.10, 175.20, 172.30, 175.00, 820900
01/12/17, 172.00, 174.00, 171.30, 174.00, 1768310
01/11/17, 170.30, 172.00, 169.00, 170.90, 1135920
01/10/17, 169.00, 170.00, 168.30, 170.00, 1949420
01/09/17, 169.80, 169.80, 166.50, 169.00, 831470
01/06/17, 165.10, 170.30, 165.10, 169.20, 1809750
01/05/17, 165.00, 170.50, 165.00, 168.00, 2402110
01/04/17, 164.00, 167.00, 163.90, 165.00, 2091120
01/03/17, 163.50, 165.00, 160.00, 165.00, 567430
12/29/16, 165.00, 165.00, 161.30, 163.50, 869640
12/28/16, 158.00, 164.10, 157.50, 164.00, 740840
12/27/16, 152.00, 157.00, 150.00, 157.00, 406130
12/23/16, 153.00, 155.80, 150.00, 150.00, 1849140
12/22/16, 155.20, 156.90, 153.00, 153.00, 2012800
12/21/16, 157.00, 159.00, 156.50, 157.00, 2687800
12/20/16, 158.50, 159.50, 155.00, 157.00, 1054380
12/19/16, 159.50, 160.10, 157.10, 157.10, 1946560
12/16/16, 159.00, 161.00, 158.10, 159.50, 1950120
12/15/16, 159.70, 159.90, 157.10, 158.10, 1940310
12/14/16, 160.00, 161.90, 159.00, 160.90, 2083000
12/13/16, 160.00, 160.00, 154.10, 158.00, 6165910
12/12/16, 170.00, 170.00, 161.50, 163.00, 2710270
12/09/16, 171.00, 173.00, 171.00, 171.60, 1514470
12/08/16, 172.00, 174.00, 169.70, 174.00, 1677340
12/07/16, 169.00, 169.50, 168.20, 168.70, 3654290
12/06/16, 173.90, 173.90, 168.90, 169.00, 2014240
12/05/16, 172.70, 172.70, 170.50, 170.70, 867270
12/02/16, 169.50, 173.60, 169.50, 171.50, 1706830
12/01/16, 170.00, 176.00, 169.00, 170.20, 3275320
11/29/16, 172.00, 172.00, 169.10, 169.90, 3774000
11/28/16, 176.00, 176.00, 170.80, 172.00, 1969130
11/25/16, 179.50, 179.50, 171.60, 174.10, 1601860
11/24/16, 178.00, 180.00, 177.90, 179.00, 729880
11/23/16, 176.20, 178.00, 173.90, 178.00, 1271060
11/22/16, 177.50, 177.50, 174.20, 176.00, 2213790
11/21/16, 179.20, 179.80, 177.00, 178.00, 1355450
11/18/16, 179.00, 181.00, 178.20, 179.80, 2121370
11/17/16, 171.60, 180.90, 171.50, 179.00, 2349760
11/16/16, 169.50, 174.00, 169.00, 171.50, 1465190
11/15/16, 168.50, 171.60, 168.40, 170.00, 2575630
11/14/16, 169.00, 169.00, 167.30, 168.30, 1890730
11/11/16, 174.40, 174.40, 168.00, 170.00, 3961100
11/10/16, 176.00, 178.50, 174.50, 174.80, 2691280
11/09/16, 183.90, 183.90, 170.30, 172.50, 2455760
11/08/16, 174.00, 185.00, 173.20, 185.00, 1805370
11/07/16, 174.70, 177.00, 170.80, 173.10, 1088950
11/04/16, 175.00, 176.00, 174.30, 174.70, 2354960
11/03/16, 176.00, 176.50, 174.50, 175.00, 1291840
11/02/16, 178.00, 179.10, 175.80, 176.00, 2384110
10/28/16, 180.50, 182.00, 179.00, 182.00, 1323020
10/27/16, 184.80, 184.80, 180.00, 180.30, 980430
10/26/16, 184.00, 184.90, 180.50, 184.90, 789300
10/25/16, 185.00, 185.00, 181.50, 182.80, 1752070
10/24/16, 184.00, 185.00, 182.00, 183.90, 888150
10/21/16, 186.00, 186.00, 183.50, 184.00, 848470
10/20/16, 185.00, 186.00, 184.00, 186.00, 2279450
10/19/16, 176.10, 185.00, 176.10, 185.00, 6861790
10/18/16, 175.50, 176.90, 175.30, 176.10, 2453130
10/17/16, 179.00, 179.10, 175.10, 175.50, 1173680
10/14/16, 179.00, 180.00, 178.70, 179.00, 1211430
10/13/16, 181.10, 183.00, 178.00, 179.00, 1104050
10/12/16, 179.50, 181.00, 177.00, 180.50, 1199270
10/11/16, 182.00, 182.10, 180.00, 180.00, 1504350
10/10/16, 185.00, 185.00, 180.50, 181.30, 1409860
10/07/16, 185.00, 185.00, 182.00, 184.30, 925610
10/06/16, 185.90, 185.90, 184.20, 184.50, 1023650
10/05/16, 185.50, 185.80, 181.50, 185.00, 855010
10/04/16, 182.60, 185.50, 182.60, 185.00, 1775110
10/03/16, 179.10, 182.80, 179.10, 182.40, 876020
09/30/16, 181.50, 182.60, 178.00, 178.00, 4772360
09/29/16, 182.10, 184.70, 181.30, 182.60, 791130
09/28/16, 181.50, 182.50, 181.20, 182.00, 1537420
09/27/16, 183.50, 183.50, 181.10, 182.50, 688780
09/26/16, 183.30, 185.00, 181.10, 185.00, 924490
09/23/16, 188.00, 188.00, 182.80, 183.30, 1968970
09/22/16, 187.90, 188.00, 187.50, 187.70, 2109970
09/21/16, 185.50, 187.10, 184.20, 186.40, 1560630
09/20/16, 185.80, 185.80, 183.00, 184.80, 999280
09/19/16, 185.80, 185.80, 184.00, 185.80, 1233700
09/16/16, 186.10, 187.30, 185.20, 185.70, 3088470
09/15/16, 185.00, 186.80, 184.90, 186.80, 2923820
09/14/16, 181.00, 183.00, 180.80, 183.00, 1304460
09/13/16, 181.00, 181.00, 179.90, 180.30, 1570180
09/09/16, 183.80, 183.80, 180.20, 180.20, 1394400
09/08/16, 183.40, 184.20, 179.90, 183.80, 1067340
09/07/16, 185.10, 185.10, 180.10, 182.00, 1806830
09/06/16, 180.90, 184.90, 180.10, 184.90, 1292480
09/05/16, 180.90, 181.90, 180.00, 180.90, 1109730
09/02/16, 182.00, 182.90, 180.90, 180.90, 1308220
09/01/16, 186.90, 186.90, 180.10, 184.00, 1697510
08/31/16, 185.00, 187.00, 184.40, 187.00, 3929060
08/30/16, 181.50, 187.00, 181.10, 187.00, 1951240
08/26/16, 180.00, 181.00, 179.50, 180.10, 5612970
08/25/16, 179.30, 180.00, 178.00, 179.50, 4435340
08/24/16, 184.70, 184.80, 177.00, 179.50, 5789870
08/23/16, 191.50, 191.50, 184.20, 184.20, 2950960
08/22/16, 192.30, 192.30, 189.70, 191.00, 1422000
08/19/16, 192.00, 192.90, 190.60, 191.50, 2783760
08/18/16, 187.70, 190.70, 187.00, 190.00, 6169540
08/17/16, 184.00, 185.60, 181.80, 184.20, 4452350
08/16/16, 191.20, 191.20, 182.00, 184.00, 8486520
08/15/16, 199.40, 199.40, 190.00, 191.50, 5340450
08/12/16, 205.40, 205.60, 196.60, 199.90, 2267130
08/11/16, 206.00, 206.00, 203.60, 203.60, 801860
08/10/16, 203.40, 206.80, 203.40, 204.80, 1380750
08/09/16, 204.00, 207.40, 203.40, 205.80, 2186800
08/08/16, 203.80, 204.40, 202.00, 204.00, 686790
08/05/16, 204.20, 204.20, 202.20, 203.00, 1193510
08/04/16, 204.00, 204.20, 201.80, 204.20, 1226340
08/03/16, 204.00, 204.00, 200.00, 201.40, 894520
08/02/16, 204.40, 204.40, 202.80, 204.00, 1201780
08/01/16, 204.60, 204.80, 202.00, 204.40, 2066480
07/29/16, 200.60, 204.60, 200.40, 200.40, 1423870
07/28/16, 202.80, 202.80, 199.80, 200.00, 1276510
07/27/16, 200.00, 203.60, 199.10, 203.00, 1642570
07/26/16, 200.20, 202.60, 199.80, 200.00, 1633130
