Date, Open, High, Low, Close, Volume
12/27/19, 40.30, 40.30, 39.75, 39.75, 1336600
12/26/19, 39.85, 40.40, 39.80, 40.40, 1015700
12/23/19, 39.50, 39.95, 39.00, 39.95, 586200
12/20/19, 40.40, 40.40, 39.00, 39.95, 3306400
12/19/19, 40.15, 40.40, 39.90, 40.40, 1328800
12/18/19, 40.45, 40.45, 39.50, 40.35, 129900
12/17/19, 38.70, 40.00, 38.70, 39.50, 1363300
12/16/19, 40.50, 40.50, 39.50, 40.25, 116600
12/13/19, 39.35, 40.50, 39.25, 40.50, 1222300
12/12/19, 39.50, 39.50, 39.00, 39.45, 926900
12/11/19, 38.90, 39.60, 38.80, 39.50, 449000
12/10/19, 39.60, 39.60, 38.60, 38.80, 2462200
12/09/19, 39.00, 39.60, 38.90, 39.60, 1355000
12/06/19, 39.00, 39.10, 38.50, 38.90, 1262200
12/05/19, 39.80, 40.15, 38.80, 39.10, 350600
12/04/19, 40.10, 40.10, 39.70, 39.85, 228400
12/03/19, 40.10, 40.10, 39.60, 39.70, 463900
12/02/19, 40.15, 40.15, 39.90, 40.05, 173800
11/29/19, 40.50, 40.50, 40.10, 40.15, 98200
11/28/19, 40.00, 40.00, 39.65, 39.95, 100200
11/27/19, 40.15, 40.25, 39.45, 40.05, 753400
11/26/19, 40.00, 40.40, 40.00, 40.00, 1321200
11/25/19, 40.00, 40.50, 40.00, 40.00, 1709300
11/22/19, 40.00, 40.00, 39.85, 39.95, 3006000
11/21/19, 39.90, 40.00, 39.50, 40.00, 998500
11/20/19, 39.90, 40.00, 39.65, 39.90, 679700
11/19/19, 40.00, 40.00, 38.90, 39.95, 764800
11/18/19, 39.60, 40.00, 39.00, 39.50, 437500
11/15/19, 39.50, 40.00, 39.00, 40.00, 138700
11/14/19, 38.90, 39.85, 38.70, 39.15, 689200
11/13/19, 38.40, 40.00, 38.30, 38.50, 789400
11/12/19, 39.25, 39.70, 38.40, 38.40, 185200
11/11/19, 39.70, 39.85, 39.05, 39.05, 1544000
11/08/19, 40.00, 40.40, 39.50, 39.70, 6118400
11/07/19, 40.40, 40.40, 39.30, 39.90, 2044200
11/06/19, 40.50, 40.80, 39.70, 40.00, 1840800
11/05/19, 40.55, 41.00, 40.25, 40.25, 942400
11/04/19, 40.55, 40.90, 40.55, 40.70, 75800
10/31/19, 40.05, 40.85, 40.00, 40.85, 370800
10/30/19, 40.95, 40.95, 39.60, 40.00, 1340900
10/29/19, 40.95, 41.00, 40.00, 40.10, 193500
10/28/19, 40.00, 41.30, 40.00, 40.00, 225600
10/25/19, 40.40, 40.40, 39.40, 40.00, 367700
10/24/19, 40.30, 40.45, 39.10, 40.00, 2183600
10/23/19, 41.20, 41.20, 40.30, 40.30, 116600
10/22/19, 40.05, 41.10, 40.05, 41.00, 510500
10/21/19, 41.25, 41.25, 40.95, 41.00, 101900
10/18/19, 40.20, 41.30, 40.10, 41.30, 2433400
10/17/19, 39.80, 40.00, 39.75, 40.00, 2426000
